,URL,protocol_part,URL_without_protocol_part
0,http://1404.ir,http://,1404.ir
1,https://ana.press,https://,ana.press
2,analytics.nastooh.ir,,analytics.nastooh.ir
3,analytics.nastooh.ir/piwik.php?idsite=2,,analytics.nastooh.ir/piwik.php?idsite=2
4,http://arbaeenpix.com,http://,arbaeenpix.com
5,http://asrefarsh.com,http://,asrefarsh.com
6,http://atiyeonline.ir,http://,atiyeonline.ir
7,http://www.behzisti.ir,http://www.,behzisti.ir
8,https://bidarbourse.com,https://,bidarbourse.com
9,https://www.chamedanmag.com,https://www.,chamedanmag.com
10,http://cinemapress.ir,http://,cinemapress.ir
11,https://www.darmanbasij.ir,https://www.,darmanbasij.ir
12,https://www.dideo.ir,https://www.,dideo.ir
13,https://www.dideo.ir/v/yt/1EIToenTLUI/automating-and-scaling-the-edge-facebook,https://www.,dideo.ir/v/yt/1EIToenTLUI/automating-and-scaling-the-edge-facebook
14,https://www.dideo.ir/v/yt/7S_tz1z_5bA/mysql-tutorial-for-beginners-%5Bfull-course%5D,https://www.,dideo.ir/v/yt/7S_tz1z_5bA/mysql-tutorial-for-beginners-%5Bfull-course%5D
15,https://www.dideo.ir/v/yt/_zgSSeZJH30/digital-transformation-series%3A-satya-nadella-on,https://www.,dideo.ir/v/yt/_zgSSeZJH30/digital-transformation-series%3A-satya-nadella-on
16,https://www.dideo.ir/v/yt/hUuH0gl0BKc/learn-about-the-future-of-digital-innovation-with,https://www.,dideo.ir/v/yt/hUuH0gl0BKc/learn-about-the-future-of-digital-innovation-with
17,https://www.dideo.ir/v/yt/xFxnPRNo_8s/internet-of-things-%28iot%29%3A-edge-computing,https://www.,dideo.ir/v/yt/xFxnPRNo_8s/internet-of-things-%28iot%29%3A-edge-computing
18,http://www.donyayekhodro.com,http://www.,donyayekhodro.com
19,http://www.entekhabeavalnews.ir,http://www.,entekhabeavalnews.ir
20,http://eximnews.ir,http://,eximnews.ir
21,https://www.fardayeeghtesad.com,https://www.,fardayeeghtesad.com
22,http://farhangemrooz.com,http://,farhangemrooz.com
23,http://feenews.ir,http://,feenews.ir
